title,date,start_time,end_time,user_id,tag_id
制作部 グラフィックチーム・Web第二チーム 会議,2025/6/30,10:00,11:00,1,1
総務管理部打ち合わせ,2025/6/30,12:45,13:30,2,2
制作部(web第1)週次定例,2025/6/30,14:00,15:00,3,3
取締役会,2025/7/1,10:00,11:30,1,1
ISMA リモート会議,2025/7/2,16:00,17:30,2,2
営業開発推進部会議,2025/7/4,10:00,11:30,3,3
総務管理部打ち合わせ,2025/7/7,12:45,13:30,1,1
制作部(web第1)週次定例,2025/7/7,14:00,15:00,2,2
MCC様との定例会（オンライン）,2025/7/8,10:30,11:30,3,3
NBCI様 定例,2025/7/9,15:00,17:00,1,1
営業推進会議,2025/7/10,9:00,10:30,2,2
営業開発推進部会議,2025/7/11,10:00,11:30,3,3
総務管理部打ち合わせ,2025/7/14,12:45,13:30,1,1
制作部(web第1)週次定例,2025/7/14,14:00,15:00,2,2
NBCI様 定例,2025/7/14,15:00,17:00,3,3
取締役会,2025/7/18,10:00,11:30,1,1
営業開発推進部会議,2025/7/18,12:45,14:00,2,2
MCC様との定例会（オンライン）,2025/7/22,10:30,11:30,3,3
総務管理部打ち合わせ,2025/7/22,12:45,13:30,1,1
制作部(web第1)週次定例,2025/7/22,14:00,15:00,2,2
NBCI様 定例,2025/7/22,15:00,17:00,3,3
業務報告会議,2025/7/25,9:00,10:30,1,1
営業開発推進部会議,2025/7/25,10:30,11:45,2,2
総務管理部打ち合わせ,2025/7/28,12:45,13:30,3,3
制作部(web第1)週次定例,2025/7/28,14:00,15:00,1,1
株主総会、取締役会,2025/7/29,10:30,12:00,2,2
NBCI様 定例,2025/7/31,15:00,17:00,3,3
取締役会,2025/8/1,10:00,11:30,1,1
MCC様との定例会（オンライン）,2025/8/5,10:30,11:30,2,2
営業開発推進部 会議,2025/8/8,10:00,11:15,3,3
営業開発推進部 会議,2025/8/22,10:00,11:15,1,1
